Section,X,Y,Z
Section-{2},24.84,44.6,0
Section-{2},12.87,40.22,0
Section-{2},11.22,54.41,0
Section-{2},57.2,66.43,0
Section-{2},58.42,62.09,0
Section-{2},12.68,39.97,0
Section-{2},13.19,40.68,0
Section-{2},59.53,60.31,0
Section-{2},11.18,54.52,0
Section-{2},13.35,41.03,0
Section-{2},61.81,58.4,0
Section-{2},12.13,39.46,0
Section-{2},24.96,40.97,0
Section-{2},10.31,38.47,0
Section-{2},58.62,61.21,0
Section-{2},24.96,41.74,0
Section-{2},10.71,53.9,0
Section-{2},57.28,66.8,0
Section-{2},58.94,60.67,0
Section-{2},57.6,63.62,0
Section-{2},57.2,65.22,0
Section-{2},11.1,54.85,0
Section-{2},12.87,40.24,0
Section-{2},13.27,40.84,0
Section-{2},61.42,58.57,0
Section-{2},61.77,58.42,0
Section-{2},58.7,62.02,0
Section-{2},11.26,54.26,0
Section-{2},13.23,40.73,0
Section-{2},58.03,62.17,0
Section-{2},10.59,53.85,0
Section-{2},24.72,40.72,0
Section-{2},11.34,38.89,0
Section-{2},59.25,60.36,0
Section-{2},59.25,60.62,0
Section-{2},12.6,39.89,0
Section-{2},58.31,69.68,0
Section-{2},5.31,44.88,0
Section-{2},10.24,38.54,0
Section-{2},60.35,59.37,0
Section-{2},58.94,61.42,0
Section-{2},12.2,39.49,0
Section-{2},8.23,52.71,0
Section-{2},10.83,53.98,0
Section-{2},12.72,40.01,0
Section-{2},57.87,63.12,0
Section-{2},7.6,52.31,0
Section-{2},59.37,60.42,0
Section-{2},59.29,61.46,0
Section-{2},58.66,61.9,0
Section-{2},11.18,54.21,0
Section-{2},59.76,59.99,0
Section-{2},57.17,65.52,0
Section-{2},57.44,63.67,0
Section-{2},57.2,66.12,0
Section-{2},10.28,38.47,0
Section-{2},21.54,40.55,0
Section-{2},24.76,44.72,0
Section-{2},61.1,58.77,0
Section-{2},10.35,38.55,0
Section-{2},60.04,59.68,0
Section-{2},61.02,58.88,0
Section-{2},60.63,59.12,0
Section-{2},24.96,42.06,0
Section-{2},24.96,42.26,0
Section-{2},10.79,38.67,0
Section-{2},57.56,63.88,0
Section-{2},24.68,44.92,0
Section-{2},24.96,41.39,0
Section-{2},59.21,61.38,0
Section-{2},11.18,38.83,0
Section-{2},59.65,60.15,0
Section-{2},10.59,38.63,0
Section-{2},11.85,39.22,0
Section-{2},61.97,58.3,0
Section-{2},59.53,60.26,0
Section-{2},4.96,43.93,0
Section-{2},60.08,59.63,0
Section-{2},58.31,62.16,0
Section-{2},10.87,54.01,0
Section-{2},10.24,38.5,0
Section-{2},24.96,42.53,0
Section-{2},12.8,40.09,0
Section-{2},13.31,40.91,0
Section-{2},10.55,38.62,0
Section-{2},12.8,40.14,0
Section-{2},59.21,61.53,0
Section-{2},59.84,59.88,0
Section-{2},58.54,62.01,0
Section-{2},60.59,59.16,0
Section-{2},61.18,58.76,0
Section-{2},59.17,61.42,0
Section-{2},61.5,58.54,0
Section-{2},61.06,58.81,0
Section-{2},66.46,57.58,0
Section-{2},66.65,57.59,0
Section-{2},65.51,57.5,0
Section-{2},62.24,58.17,0
Section-{2},62.6,58.02,0
Section-{2},62.95,57.91,0
Section-{2},63.66,57.69,0
Section-{2},66.06,57.51,0
Section-{2},65.43,57.5,0
Section-{2},67.99,57.89,0
Section-{2},64.21,57.61,0
Section-{2},65.35,57.51,0
Section-{2},68.9,58.26,0
Section-{2},68.5,58.1,0
Section-{2},66.26,57.57,0
Section-{2},62.83,57.93,0
Section-{2},62.13,58.24,0
Section-{2},65.28,57.51,0
Section-{2},64.53,57.54,0
Section-{2},65.71,57.5,0
Section-{2},63.9,57.65,0
Section-{2},66.57,57.58,0
Section-{2},67.6,57.77,0
Section-{2},63.15,57.81,0
Section-{2},62.64,58.01,0
Section-{2},63.86,57.66,0
Section-{2},68.58,58.12,0
Section-{2},68.19,57.98,0
Section-{2},70.12,58.97,0
Section-{2},69.76,58.72,0
Section-{2},69.13,58.41,0
Section-{2},65.83,57.51,0
Section-{2},69.37,58.54,0
Section-{2},64.84,57.51,0
Section-{2},64.09,57.62,0
Section-{2},63.31,57.78,0
Section-{2},69.65,58.68,0
Section-{2},67.44,57.74,0
Section-{2},67.17,57.7,0
Section-{2},62.99,57.89,0
Section-{2},66.81,57.62,0
Section-{2},63.82,57.71,0
,,,
Section-{3},57.2,67.41,0
Section-{3},6.02,51.28,0
Section-{3},5.75,50.68,0
Section-{3},5.35,39.36,0
Section-{3},5.79,51.05,0
Section-{3},4.8,40.5,0
Section-{3},5.08,39.91,0
Section-{3},4.61,41.61,0
Section-{3},6.38,38.24,0
Section-{3},8.11,37.54,0
Section-{3},57.24,63.88,0
Section-{3},24.96,42.05,0
Section-{3},57.09,63.76,0
Section-{3},22.17,39.23,0
Section-{3},57.09,63.54,0
Section-{3},24.96,43.64,0
Section-{3},59.53,59.53,0
Section-{3},24.96,42.6,0
Section-{3},57.32,63.32,0
Section-{3},24.37,45.03,0
Section-{3},24.96,40.15,0
Section-{3},57.56,62.63,0
Section-{3},24.96,41.64,0
Section-{3},57.17,65.36,0
Section-{3},24.96,40.31,0
Section-{3},59.41,59.58,0
Section-{3},61.57,58.01,0
Section-{3},57.56,62.57,0
Section-{3},58.07,61.4,0
Section-{3},24.96,44.99,0
Section-{3},57.17,65.41,0
Section-{3},24.96,42.84,0
Section-{3},22.91,39.23,0
Section-{3},58.62,60.52,0
Section-{3},59.02,60.05,0
Section-{3},57.32,63.3,0
Section-{3},61.06,58.29,0
Section-{3},57.64,62.3,0
Section-{3},57.17,64.88,0
Section-{3},57.17,64.99,0
Section-{3},58.82,60.23,0
Section-{3},24.96,43.53,0
Section-{3},57.64,62.07,0
Section-{3},58.7,60.44,0
Section-{3},60.75,58.49,0
Section-{3},24.96,39.38,0
Section-{3},24.96,40.9,0
Section-{3},57.24,63.65,0
Section-{3},59.17,59.84,0
Section-{3},60.98,58.45,0
Section-{3},24.96,44.51,0
Section-{3},61.77,57.9,0
Section-{3},24.96,43.85,0
Section-{3},21.81,39.2,0
Section-{3},59.65,59.33,0
Section-{3},24.96,43.96,0
Section-{3},24.96,43.11,0
Section-{3},60.16,58.9,0
Section-{3},60.47,58.75,0
Section-{3},61.18,58.21,0
Section-{3},59.88,59.13,0
Section-{3},61.42,58.07,0
Section-{3},24.96,39.27,0
Section-{3},57.36,63.17,0
Section-{3},24.96,40.19,0
Section-{3},57.32,63.45,0
Section-{3},57.36,63.26,0
Section-{3},57.13,64.75,0
Section-{3},24.96,39.8,0
Section-{3},24.96,39.64,0
Section-{3},57.09,66.08,0
Section-{3},24.96,42.92,0
Section-{3},24.96,44.85,0
Section-{3},61.42,58.1,0
Section-{3},61.65,57.97,0
Section-{3},22.8,39.24,0
Section-{3},24.96,41.86,0
Section-{3},60.94,58.35,0
Section-{3},24.96,44.66,0
Section-{3},58.19,61.19,0
Section-{3},60.87,58.41,0
Section-{3},24.96,40.03,0
Section-{3},24.96,42.41,0
Section-{3},24.96,39.51,0
Section-{3},22.99,39.4,0
Section-{3},24.96,40.54,0
Section-{3},58.5,60.72,0
Section-{3},57.83,61.98,0
Section-{3},61.89,57.86,0
Section-{3},22.87,39.23,0
Section-{3},24.05,39.2,0
Section-{3},61.3,58.14,0
Section-{3},57.17,65.2,0
Section-{3},25,41.05,0
Section-{3},57.17,65.94,0
Section-{3},58.86,60.24,0
Section-{3},57.24,63.74,0
Section-{3},61.3,58.23,0
Section-{3},22.44,39.24,0
Section-{3},23.5,39.39,0
Section-{3},24.96,44.15,0
Section-{3},61.97,57.82,0
Section-{3},57.2,64.09,0
Section-{3},57.17,64.24,0
Section-{3},60.51,58.67,0
Section-{3},57.72,62.22,0
Section-{3},58.42,60.84,0
Section-{3},60.75,58.51,0
Section-{3},24.96,40,0
Section-{3},24.96,40.98,0
Section-{3},24.96,41.21,0
Section-{3},57.64,62.43,0
Section-{3},59.05,59.97,0
Section-{3},24.96,42.25,0
Section-{3},24.96,41.43,0
Section-{3},57.17,64.68,0
Section-{3},57.48,62.89,0
Section-{3},61.06,58.27,0
Section-{3},24.96,41.53,0
Section-{3},23.27,39.39,0
Section-{3},57.95,61.63,0
Section-{3},24.96,40.61,0
Section-{3},60.31,58.78,0
Section-{3},21.89,39.19,0
Section-{3},57.6,62.41,0
Section-{3},59.96,59.06,0
Section-{3},24.96,40.35,0
Section-{3},59.76,59.24,0
Section-{3},57.91,61.74,0
Section-{3},23.86,39.21,0
Section-{3},24.96,39.28,0
Section-{3},60.63,58.59,0
Section-{3},57.17,65.08,0
Section-{3},57.72,62.11,0
Section-{3},24.13,39.21,0
Section-{3},58.78,60.33,0
Section-{3},59.37,59.64,0
Section-{3},24.96,44.35,0
Section-{3},58.98,60.04,0
Section-{3},57.17,64.53,0
Section-{3},24.96,41.38,0
Section-{3},23.46,39.21,0
Section-{3},22.32,39.2,0
Section-{3},57.87,61.88,0
Section-{3},58.31,61.03,0
Section-{3},24.96,41.55,0
Section-{3},57.87,61.8,0
Section-{3},22.36,39.23,0
Section-{3},24.96,43.29,0
Section-{3},59.41,59.57,0
Section-{3},21.26,39.21,0
Section-{3},60.04,59.02,0
Section-{3},58.35,60.95,0
Section-{3},24.96,41.7,0
Section-{3},65.39,57.35,0
Section-{3},62.2,57.71,0
Section-{3},62.09,57.79,0
Section-{3},66.61,57.27,0
Section-{3},62.6,57.59,0
Section-{3},68.39,57.85,0
Section-{3},64.17,57.18,0
Section-{3},68.15,57.75,0
Section-{3},62.44,57.63,0
Section-{3},66.1,57.19,0
Section-{3},64.33,57.2,0
Section-{3},64.88,57.16,0
Section-{3},67.44,57.48,0
Section-{3},66.77,57.32,0
Section-{3},67.99,57.67,0
Section-{3},67.68,57.55,0
Section-{3},65.87,57.18,0
Section-{3},67.8,57.59,0
Section-{3},68.98,58.13,0
Section-{3},69.53,58.41,0
Section-{3},68.31,57.82,0
Section-{3},66.22,57.2,0
Section-{3},63.62,57.46,0
Section-{3},63.82,57.28,0
Section-{3},70.71,59.34,0
Section-{3},65.75,57.18,0
Section-{3},70.79,59.45,0
Section-{3},66.46,57.23,0
Section-{3},66.02,57.44,0
Section-{3},67.48,57.51,0
Section-{3},70.16,58.86,0
Section-{3},62.95,57.48,0
Section-{3},67.28,57.44,0
Section-{3},63.11,57.43,0
Section-{3},63.42,57.35,0
Section-{3},68.86,58.03,0
Section-{3},69.84,58.65,0
Section-{3},65.71,57.39,0
Section-{3},64.13,57.24,0
Section-{3},63.27,57.39,0
Section-{3},68.9,58.06,0
Section-{3},68.54,57.86,0
Section-{3},67.05,57.39,0
Section-{3},64.68,57.18,0
Section-{3},66.93,57.35,0
Section-{3},68.66,57.94,0
Section-{3},69.84,58.62,0
Section-{3},65.04,57.16,0
Section-{3},62.76,57.55,0
Section-{3},69.49,58.43,0
Section-{3},70.31,58.98,0
Section-{3},63.66,57.31,0
Section-{3},64.02,57.24,0
Section-{3},63.74,57.26,0
Section-{3},64.49,57.19,0
Section-{3},66.57,57.26,0
Section-{3},70.71,59.38,0
Section-{3},66.85,57.34,0
Section-{3},69.72,58.53,0
Section-{3},65.55,57.16,0
Section-{3},67.91,57.63,0
Section-{3},70.12,58.82,0
Section-{3},65.39,57.15,0
Section-{3},69.96,58.69,0
Section-{3},69.33,58.29,0
Section-{3},65.24,57.15,0
,,,
Section-{4},9.33,36.37,0
Section-{4},10.55,36.56,0
Section-{4},12.68,38.27,0
Section-{4},13.31,39.75,0
Section-{4},13.43,41.14,0
Section-{4},9.53,36.41,0
Section-{4},11.06,36.78,0
Section-{4},13.39,41.34,0
Section-{4},13.43,40.79,0
Section-{4},11.38,36.96,0
Section-{4},13.31,39.6,0
Section-{4},13.27,42.25,0
Section-{4},13.43,40.22,0
Section-{4},12.32,37.8,0
Section-{4},11.69,37.19,0
Section-{4},12.64,38.15,0
Section-{4},13.15,39.18,0
Section-{4},10.91,36.72,0
Section-{4},7.99,50.4,0
Section-{4},13.23,42,0
Section-{4},12.87,38.56,0
Section-{4},13.31,41.65,0
Section-{4},8.46,50.61,0
Section-{4},8.39,36.57,0
Section-{4},4.92,42.6,0
Section-{4},11.18,36.84,0
Section-{4},11.73,37.21,0
Section-{4},12.48,37.97,0
Section-{4},11.18,36.86,0
Section-{4},13.07,38.91,0
Section-{4},12.48,37.95,0
Section-{4},10,36.68,0
Section-{4},13.27,41.8,0
Section-{4},11.46,37.03,0
Section-{4},10.83,36.68,0
Section-{4},12.68,38.28,0
Section-{4},13.35,39.95,0
Section-{4},8.15,36.58,0
Section-{4},13.31,41.53,0
Section-{4},13.19,39.3,0
Section-{4},13.43,40.42,0
Section-{4},11.38,36.97,0
Section-{4},12.17,37.6,0
Section-{4},12.64,38.17,0
Section-{4},12.8,38.36,0
Section-{4},10.31,36.49,0
Section-{4},7.17,45.53,0
Section-{4},12.56,38.05,0
Section-{4},9.68,36.36,0
Section-{4},13.15,39.06,0
Section-{4},10.2,36.45,0
Section-{4},12.56,38.03,0
Section-{4},13.15,42.19,0
Section-{4},11.06,36.8,0
Section-{4},11.89,37.33,0
Section-{4},12.4,37.87,0
Section-{4},13.39,40.47,0
Section-{4},13.43,40.96,0
Section-{4},13.35,40.11,0
Section-{4},11.22,36.88,0
Section-{4},5.79,37.77,0
Section-{4},13.43,40.61,0
Section-{4},4.57,40.66,0
Section-{4},13.39,41.18,0
Section-{4},11.97,37.44,0
Section-{4},13.23,42.02,0
Section-{4},13.39,40.74,0
Section-{4},12.95,38.71,0
Section-{4},12.83,38.48,0
Section-{4},13.15,42.22,0
Section-{4},9.84,36.37,0
Section-{4},4.76,39.58,0
Section-{4},3.78,37.17,0
Section-{4},13.39,41,0
Section-{4},4.57,40.93,0
Section-{4},13.43,41.12,0
Section-{4},10.71,36.64,0
Section-{4},6.54,36.91,0
Section-{4},13.43,40.81,0
Section-{4},12.05,37.48,0
Section-{4},4.61,40.43,0
Section-{4},11.81,37.29,0
Section-{4},12.91,38.54,0
Section-{4},13.19,42.04,0
Section-{4},10,36.45,0
Section-{4},13.43,40.98,0
Section-{4},13.27,39.42,0
Section-{4},4.57,41.2,0
Section-{4},4.61,41.49,0
Section-{4},6.54,37.23,0
Section-{4},12.28,37.68,0
Section-{4},5.24,38.5,0
Section-{4},10.35,36.52,0
Section-{4},12.99,38.87,0
Section-{4},8.03,36.4,0
Section-{4},13.39,40.3,0
Section-{4},11.61,37.13,0
Section-{4},13.39,40.49,0
Section-{4},13.43,40.15,0
Section-{4},11.26,36.9,0
Section-{4},63.5,56.87,0
Section-{4},63.82,56.81,0
Section-{4},64.37,56.75,0
Section-{4},67.28,57.06,0
Section-{4},66.34,57.04,0
Section-{4},65.2,56.73,0
Section-{4},70,58.45,0
Section-{4},68.5,57.53,0
Section-{4},62.95,57.01,0
Section-{4},62.28,57.18,0
Section-{4},63.27,57.05,0
Section-{4},70.59,58.92,0
Section-{4},68.66,57.57,0
Section-{4},62.91,57.03,0
Section-{4},66.06,57.04,0
Section-{4},69.49,58.08,0
Section-{4},63.11,56.97,0
Section-{4},69.84,58.3,0
Section-{4},63.98,56.81,0
Section-{4},64.33,56.77,0
Section-{4},65.51,56.77,0
Section-{4},69.33,57.97,0
Section-{4},69.05,57.81,0
Section-{4},64.65,56.89,0
Section-{4},65,56.69,0
Section-{4},62.09,57.3,0
Section-{4},63.5,56.89,0
Section-{4},69.92,58.38,0
Section-{4},70.87,59.16,0
Section-{4},63.27,56.93,0
Section-{4},66.97,56.97,0
Section-{4},66.93,56.99,0
Section-{4},66.42,56.86,0
Section-{4},65.71,56.74,0
Section-{4},67.99,57.29,0
Section-{4},65.55,56.73,0
Section-{4},66.06,56.83,0
Section-{4},64.49,56.77,0
Section-{4},69.8,58.27,0
Section-{4},64.41,56.9,0
Section-{4},67.13,57.01,0
Section-{4},64.92,56.93,0
Section-{4},68.15,57.34,0
Section-{4},67.76,57.22,0
Section-{4},69.17,57.88,0
Section-{4},63.15,56.95,0
Section-{4},69.72,58.22,0
Section-{4},70.47,58.84,0
Section-{4},64.84,56.73,0
Section-{4},69.68,58.2,0
Section-{4},70.67,59,0
Section-{4},62.52,57.14,0
Section-{4},70.2,58.61,0
Section-{4},69.61,58.17,0
Section-{4},66.81,56.93,0
Section-{4},65.87,56.81,0
Section-{4},69.53,58.1,0
Section-{4},64.17,56.77,0
Section-{4},65.94,56.79,0
Section-{4},64.49,56.73,0
Section-{4},68.27,57.42,0
Section-{4},65.75,56.79,0
Section-{4},67.95,57.27,0
Section-{4},65.2,56.93,0
Section-{4},63.82,56.83,0
Section-{4},64.37,56.73,0
Section-{4},70.08,58.52,0
Section-{4},63.35,56.89,0
Section-{4},67.09,57.02,0
Section-{4},62.8,57.06,0
Section-{4},68.39,57.46,0
Section-{4},63.98,56.79,0
Section-{4},63.66,56.85,0
Section-{4},68.86,57.69,0
Section-{4},62.4,57.15,0
Section-{4},66.26,56.83,0
Section-{4},67.28,57.04,0
Section-{4},70.31,58.69,0
Section-{4},66.81,56.94,0
Section-{4},64.17,56.79,0
Section-{4},69.41,58.02,0
Section-{4},67.68,57.18,0
Section-{4},69.37,58,0
Section-{4},65.04,56.71,0
Section-{4},66.77,56.93,0
Section-{4},62.64,57.1,0
Section-{4},65.35,56.73,0
Section-{4},70.39,58.76,0
Section-{4},70.75,59.08,0
Section-{4},68.74,57.65,0
Section-{4},64.72,56.73,0
Section-{4},62.13,57.22,0
Section-{4},68.66,57.88,0
Section-{4},66.57,56.89,0
Section-{4},69.02,57.77,0
Section-{4},66.42,56.85,0
Section-{4},67.48,57.14,0
Section-{4},67.44,57.1,0
Section-{4},62.83,57.04,0
Section-{4},63.66,56.83,0
Section-{4},57.09,67.02,0
Section-{4},58.7,59.78,0
Section-{4},57.24,62.81,0
Section-{4},57.56,61.89,0
Section-{4},57.64,61.34,0
Section-{4},57.44,62.07,0
Section-{4},57.13,63.48,0
Section-{4},57.36,61.9,0
Section-{4},57.05,64.2,0
Section-{4},57.87,61.2,0
Section-{4},57.05,65.04,0
Section-{4},57.91,61.03,0
Section-{4},57.83,61.24,0
Section-{4},58.98,59.47,0
Section-{4},57.01,65.82,0
Section-{4},57.13,63.36,0
Section-{4},58.66,59.88,0
Section-{4},57.05,64.79,0
Section-{4},58.98,59.49,0
Section-{4},58.27,60.47,0
Section-{4},57.17,62.47,0
Section-{4},57.09,65.4,0
Section-{4},57.48,62.09,0
Section-{4},57.01,66.04,0
Section-{4},57.4,62.23,0
Section-{4},58.46,60.16,0
Section-{4},57.05,64.56,0
Section-{4},57.01,65.84,0
Section-{4},57.09,62.68,0
Section-{4},57.64,61.59,0
Section-{4},57.36,62.47,0
Section-{4},57.09,63.66,0
Section-{4},57.28,62.62,0
Section-{4},57.09,65.59,0
Section-{4},57.52,61.91,0
Section-{4},58.39,60.32,0
Section-{4},57.76,61.39,0
Section-{4},59.17,59.27,0
Section-{4},57.6,61.7,0
Section-{4},57.09,64.01,0
Section-{4},57.05,65.9,0
Section-{4},57.2,63.05,0
Section-{4},58.19,60.51,0
Section-{4},58.54,60.04,0
Section-{4},58.11,60.66,0
Section-{4},57.05,64.71,0
Section-{4},57.17,63.28,0
Section-{4},57.05,65.79,0
Section-{4},57.05,66.02,0
Section-{4},56.97,63.3,0
Section-{4},57.2,62.93,0
Section-{4},57.72,61.5,0
Section-{4},57.17,63.14,0
Section-{4},58.74,59.8,0
Section-{4},57.09,63.81,0
Section-{4},57.05,64.32,0
Section-{4},57.4,62.25,0
Section-{4},57.09,63.68,0
Section-{4},57.05,64.92,0
Section-{4},56.93,63.56,0
Section-{4},57.95,61.01,0
Section-{4},59.09,59.39,0
Section-{4},58.9,59.61,0
Section-{4},58.31,60.35,0
Section-{4},59.25,59.2,0
Section-{4},57.05,65.18,0
Section-{4},57.52,62.02,0
Section-{4},57.05,65.2,0
Section-{4},58.62,59.96,0
Section-{4},25.16,43.39,0
Section-{4},25.16,45,0
Section-{4},24.33,39.47,0
Section-{4},21.34,39.42,0
Section-{4},25.16,41.82,0
Section-{4},25.16,42.18,0
Section-{4},25.12,39.73,0
Section-{4},25.16,39.46,0
Section-{4},25.12,41.15,0
Section-{4},25.16,39.71,0
Section-{4},25.16,42.9,0
Section-{4},22.48,39.33,0
Section-{4},25.12,39.6,0
Section-{4},25.16,44.64,0
Section-{4},25.12,40.61,0
Section-{4},21.77,39.33,0
Section-{4},21.5,39.38,0
Section-{4},25.16,43.25,0
Section-{4},24.61,45.31,0
Section-{4},24.72,39.28,0
Section-{4},25.16,42.55,0
Section-{4},25.16,40.98,0
Section-{4},25.16,45.02,0
Section-{4},25.16,40.48,0
Section-{4},25.12,41.36,0
Section-{4},24.61,44.76,0
Section-{4},25.12,40.39,0
Section-{4},23.23,39.29,0
Section-{4},21.3,39.4,0
Section-{4},23.86,39.45,0
Section-{4},25.08,39.36,0
Section-{4},24.05,39.29,0
Section-{4},25.16,41.47,0
Section-{4},24.21,39.28,0
Section-{4},22.83,39.33,0
Section-{4},22.64,39.33,0
Section-{4},25.16,44.8,0
Section-{4},25.12,41.51,0
Section-{4},24.61,44.26,0
Section-{4},24.61,45.04,0
Section-{4},24.72,39.3,0
Section-{4},25.04,39.28,0
Section-{4},24.37,39.29,0
Section-{4},25.16,43.06,0
Section-{4},25.16,41.32,0
Section-{4},21.42,39.53,0
Section-{4},25.12,39.75,0
Section-{4},21.65,39.36,0
Section-{4},25.16,44.26,0
Section-{4},21.97,39.32,0
Section-{4},25.16,40.28,0
Section-{4},25.12,42.24,0
Section-{4},23.7,39.29,0
Section-{4},25.12,39.93,0
Section-{4},25.12,40.08,0
Section-{4},23.03,39.33,0
Section-{4},25.16,41.16,0
Section-{4},24.57,43.69,0
Section-{4},25.16,42.02,0
Section-{4},25.12,40.84,0
Section-{4},25.2,45.17,0
Section-{4},23.15,39.32,0
Section-{4},22.48,39.32,0
Section-{4},25.16,42.71,0
Section-{4},25.16,43.41,0
Section-{4},24.05,39.3,0
Section-{4},23.35,39.29,0
Section-{4},24.61,44.52,0
Section-{4},25.16,45.29,0
Section-{4},25.16,44.13,0
Section-{4},23.86,39.29,0
Section-{4},25.16,42.4,0
Section-{4},25.16,40.08,0
Section-{4},24.92,39.28,0
Section-{4},25.16,41.67,0
Section-{4},25.16,39.62,0
Section-{4},25.12,40.25,0
Section-{4},25.16,39.97,0
Section-{4},25.16,44.45,0
Section-{4},25.12,40.96,0
Section-{4},25.16,39.77,0
Section-{4},25.16,40.59,0
Section-{4},25.16,43.57,0
Section-{4},24.53,39.29,0
Section-{4},25.12,40.59,0
Section-{4},25.16,43.78,0
Section-{4},22.28,39.33,0
Section-{4},25.16,42.24,0
Section-{4},20.63,39.02,0
Section-{4},25.12,41.59,0
Section-{4},25.16,43.94,0
Section-{4},22.13,39.32,0
Section-{4},23.5,39.29,0
Section-{4},25.16,40.79,0
Section-{4},60.77,57.95,0
Section-{4},61.4,57.59,0
Section-{4},59.78,58.71,0
Section-{4},59.31,59.13,0
Section-{4},59.59,58.83,0
Section-{4},59.51,58.94,0
Section-{4},61.75,57.4,0
Section-{4},60.06,58.48,0
Section-{4},60.89,57.9,0
Section-{4},60.49,58.14,0
Section-{4},60.18,58.35,0
Section-{4},61.95,57.36,0
Section-{4},59.86,58.63,0
Section-{4},60.53,58.08,0
Section-{4},60.65,58,0
Section-{4},59.59,58.86,0
Section-{4},61.36,57.71,0
Section-{4},61.12,57.75,0
Section-{4},59.67,58.78,0
Section-{4},61.04,57.83,0
Section-{4},60.22,58.31,0
Section-{4},59.98,58.55,0
Section-{4},61.67,57.47,0
Section-{4},60.37,58.22,0
Section-{4},60.53,58.1,0
Section-{4},61.87,57.46,0
Section-{4},61.24,57.71,0
Section-{4},61.55,57.51,0
Section-{4},59.43,59.02,0
Section-{4},71.02,59.36,0
Section-{4},70.94,59.27,0
Section-{4},71.1,59.43,0
Section-{4},71.26,59.65,0
Section-{4},70.94,59.25,0
Section-{4},71.22,59.52,0
Section-{4},71.22,59.53,0
Section-{4},71.34,59.71,0
,,,
Section-{5},13.33,38.27,0
Section-{5},8.72,35.77,0
Section-{5},12.58,37.1,0
Section-{5},12.62,37.07,0
Section-{5},10.18,35.63,0
Section-{5},11.2,36,0
Section-{5},9.67,35.6,0
Section-{5},11.08,35.96,0
Section-{5},12.62,37.2,0
Section-{5},13.56,39.13,0
Section-{5},11.87,36.43,0
Section-{5},11.4,36.16,0
Section-{5},11.36,36.08,0
Section-{5},10.89,35.86,0
Section-{5},7.74,35.96,0
Section-{5},12.85,37.54,0
Section-{5},12.97,37.74,0
Section-{5},9.9,35.82,0
Section-{5},13.48,38.78,0
